release_id,version,release_date,purpose,file_format,file_size_kb,changelog,distributed_by,feedback_received_count
REL-260319-04-카톡,v0.4,2026-03-19,카톡_공유,PDF_저해상,1224,온보딩 리플로우 + 컬러 피커 버그 수정,이정표,19
REL-260319-04-회의,v0.4,2026-03-19,회의_검토,PDF_고해상_A3,8327,온보딩 리플로우 + 컬러 피커 버그 수정,이정표,10
REL-260319-04-일반출력,v0.4,2026-03-19,일반출력,PDF_A4,3399,온보딩 리플로우 + 컬러 피커 버그 수정,이정표,11
REL-260323-05-카톡,v0.5,2026-03-23,카톡_공유,PDF_저해상,1180,대시보드 첫 구현 + 타이포 설정 추가,이정표,13
REL-260323-05-회의,v0.5,2026-03-23,회의_검토,PDF_고해상_A3,8084,대시보드 첫 구현 + 타이포 설정 추가,이정표,7
REL-260323-05-일반출력,v0.5,2026-03-23,일반출력,PDF_A4,2858,대시보드 첫 구현 + 타이포 설정 추가,이정표,20
REL-260328-06-카톡,v0.6,2026-03-28,카톡_공유,PDF_저해상,1592,가이드라인 PDF 출력 프리뷰,이정표,14
REL-260328-06-회의,v0.6,2026-03-28,회의_검토,PDF_고해상_A3,9606,가이드라인 PDF 출력 프리뷰,이정표,8
REL-260328-06-일반출력,v0.6,2026-03-28,일반출력,PDF_A4,2777,가이드라인 PDF 출력 프리뷰,이정표,16
REL-260402-07-카톡,v0.7,2026-04-02,카톡_공유,PDF_저해상,1197,로고 업로더 드래그앤드랍 + 팀원 초대 흐름,이정표,9
REL-260402-07-회의,v0.7,2026-04-02,회의_검토,PDF_고해상_A3,8114,로고 업로더 드래그앤드랍 + 팀원 초대 흐름,이정표,18
REL-260402-07-일반출력,v0.7,2026-04-02,일반출력,PDF_A4,3070,로고 업로더 드래그앤드랍 + 팀원 초대 흐름,이정표,5
REL-260408-08-카톡,v0.8,2026-04-08,카톡_공유,PDF_저해상,1460,다크모드 토글 + 모바일 프리뷰 개선,이정표,18
REL-260408-08-회의,v0.8,2026-04-08,회의_검토,PDF_고해상_A3,8942,다크모드 토글 + 모바일 프리뷰 개선,이정표,13
REL-260408-08-일반출력,v0.8,2026-04-08,일반출력,PDF_A4,3186,다크모드 토글 + 모바일 프리뷰 개선,이정표,18
